price,tag_seller,tag_condition,storage_gb,neverlock,loan,installment_loan,guarantee,color_black,color_rose,color_gold,color_silver,color_red,chargin_adapter,wire,box,case,glass,earphones,discount,time_exec_pub,time_seller_reg
5899.0,1,0,32,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.0,1608.0
5594.86,1,0,32,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2.0,1669.0
6290.0,1,0,32,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17.0,2673.0
6190.0,1,0,32,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,17.0,2216.0
6367.49,1,0,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0
4529.17,1,0,32,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7.0,1697.0
4768.95,1,0,128,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0
4200.0,1,0,32,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,2094.0
4500.0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,2400.0
4490.0,1,0,32,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2520.0
4236.11,1,0,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0
3800.0,1,0,32,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.0,3250.0
3999.0,1,0,32,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,3830.0
4499.0,1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2520.0
3990.0,1,0,32,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,2490.0
4450.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.0,2673.0
6400.0,1,0,128,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1212.0
3863.12,1,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1455.0
3900.0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1728.0
6200.0,1,0,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0,1728.0
